MONTH,TOT,RETAIL,MFG,AGRIC,CNSTRN,SERVICES
1993-02-01,21.7,11.2,28.4,12.3,37.6,26.6
1993-03-01,19.1,14.1,25.5,9.8,31.3,21.9
1993-04-01,17,10.5,25,14.6,17.8,20
1993-05-01,16.5,7.6,24.6,10.1,17.3,23.4
1993-06-01,18,6,24,10.6,34.2,23.3
1993-07-01,19.2,8.9,29.1,15.6,31.8,18
1993-08-01,19.3,10,25.9,16.8,27.4,21.5
1993-09-01,20.8,12.1,26.3,16.9,25.7,26.3
1993-10-01,21.3,19.3,27.3,10.5,26.1,23.8
1993-11-01,20.6,13.5,29.7,6.8,30.6,25
1993-12-01,20.3,10.7,25.4,15.5,32.9,23.3
1994-02-01,26.7,13.7,37.6,15.1,51.4,30.4
1994-03-01,27.9,18.7,34.9,16.7,45.8,32.6
1994-04-01,24.9,17.1,31.5,13.5,41.7,30.2
1994-05-01,26.4,19.7,29,13.8,40.7,36
1994-06-01,29.7,22,42.1,9.7,42,33.8
1994-07-01,26.4,19.7,30.7,12,41.5,32.6
1994-08-01,25.8,21.9,34.2,11,33.8,29.6
1994-09-01,24.8,18,29.6,14.6,37.1,30.2
1994-10-01,22.7,16.8,25.1,10.3,39.1,30
1994-11-01,21.4,22.5,20.2,9,29.7,26.5
1994-12-01,24.5,16.8,21.5,13.3,33.8,36.4
1995-02-01,20.8,19.6,29.4,0,16.9,28.2
1995-03-01,20.3,17.2,20.7,9.2,21.3,29.1
1995-04-01,20.4,14.4,22.2,3.4,22.2,34.4
1995-05-01,16,26.1,9,-4.5,11.4,27.9
1995-06-01,17.7,18,20.7,0,14.9,26.5
1995-07-01,17.2,18.2,18.9,0.7,10.7,28.2
1995-08-01,12.7,16.7,11.2,-1.6,13.4,17.9
1995-09-01,10.2,9.8,7.2,-2.2,3.3,23.7
1995-10-01,8.6,10.2,10.4,-4.3,6.6,15
1995-11-01,11.1,14,6.8,-5.3,8.3,23
1995-12-01,13.1,14.3,13.6,0,12.2,19.8
1996-02-01,16.5,14.2,15,-1.5,9.9,31.2
1996-03-01,13.4,13.2,8.3,-1.5,19.4,25.1
1996-04-01,6.5,1.1,10.3,-13.5,9.7,20.6
1996-05-01,5.9,13.5,-2.8,-7.8,7.2,14.1
1996-06-01,0,3.6,-3.6,-12.9,4.8,5.7
1996-07-01,-3.8,-5.1,-3.5,-20.2,-11.3,7.4
1996-08-01,2.9,4.3,1.7,-15.1,1.4,14.5
1996-09-01,7.4,5.8,3.1,-6.5,11.9,18
1996-10-01,9.4,12.2,0.6,-6.2,15.9,21.2
1996-11-01,7.5,7,4.4,-4.7,7,13.7
1996-12-01,3.6,10.4,0,-19.2,7.8,12
1997-02-01,6.2,8.5,-4.1,-4,19.4,15.4
1997-03-01,5.7,5.8,1.2,-10.8,6.8,18.6
1997-04-01,0.6,1.3,-11.3,-0.9,-6.8,13
1997-05-01,-0.3,-1.3,-4.2,-9.2,-9.1,12
1997-06-01,-4.4,-2.4,-12.7,-16.8,-15.8,9.5
1997-07-01,-4.2,-2.5,-12.5,-14.7,-10.8,9.5
1997-08-01,-1.5,4.1,-14.2,-9.6,-13.1,12
1997-09-01,3.5,7.2,-8.3,-0.9,6.8,11.7
1997-10-01,7.3,5.2,1.7,1.6,8.8,17.6
1997-11-01,4.9,4.7,-3.1,-5,10.2,15.4
1997-12-01,-0.6,0,-1.9,-2.8,5.7,1.6
1998-02-01,-8.4,-14,-4.7,-14.8,-10.5,0.5
1998-03-01,-10.1,-9.6,-15.6,-15.2,-15.4,1
1998-04-01,-11.8,-12.3,-18.2,-13.3,-21.1,-4
1998-05-01,-5.1,-5.5,-10.5,-5.4,0,-2.1
1998-06-01,-3.6,-7.9,-4.9,-8.3,-3.9,4.1
1998-07-01,-6.5,-12.1,-4.6,-4.2,-24.3,-1
1998-08-01,-0.2,-1.7,-2.9,-5,-2.7,4.5
1998-09-01,-2.6,-6.3,-3.6,-1.7,-9.7,1.3
1998-10-01,-5.3,-2.2,-13.6,-9.9,-2.7,-0.9
1998-11-01,1.8,-6.3,0.5,-1.7,3.2,8.8
1998-12-01,7.6,4.7,9.4,-3.7,20.6,10.5
1999-02-01,14.7,5.6,14.4,-2.6,26.2,21.9
1999-03-01,13.9,6.2,16.1,-1.6,12.5,21.9
1999-04-01,14.5,11.3,15.9,-0.8,21,19.9
1999-05-01,11.4,9.3,8.2,-1.6,28.6,14.4
1999-06-01,12,4.4,10.8,1.8,12.7,19.9
1999-07-01,8.3,1.7,12.3,0.9,0,13.7
1999-08-01,9.2,5.9,12,6.8,-4.8,12.7
1999-09-01,8.7,9,12.3,2.6,1.8,10
1999-10-01,9.3,7.4,15.3,1,0,10.6
1999-11-01,10.1,4.5,17.6,8.8,7.3,9.7
1999-12-01,5,3,-0.7,7.8,8.1,6.4
2000-02-01,7.5,-0.7,8.4,6.7,7.1,11.5
2000-03-01,8.7,3.7,7.1,5,-1.7,15.6
2000-04-01,7.6,5.7,-1.3,3,-10.3,17.1
2000-05-01,-3,-9.6,-8.1,1,-19.6,5.1
2000-06-01,-14.8,-15.8,-19.1,-2.9,-27.8,-13.6
2000-07-01,-8.4,-11.3,-13.4,1,-12.7,-6.4
2000-08-01,-4.6,-7.6,-1.2,0,-18.2,-4
2000-09-01,-6.4,-6.2,-9.7,5.5,-10.9,-7.2
2000-10-01,-9.5,-12.2,-16.5,0.9,-11.8,-7.1
2000-11-01,-1.9,-4.4,-8.9,1.9,-9.7,2.7
2000-12-01,5.1,1.4,5.1,5.5,3.8,7.5
2001-02-01,9.1,1.5,4.2,9.2,7,15.7
2001-03-01,10.9,7.1,8.1,8,10,15.1
2001-04-01,10.9,4.9,6.2,8,4.1,16.8
2001-05-01,8.4,7,-1.9,6.7,14,14
2001-06-01,9.8,12.9,4.2,11.5,2.1,11
2001-07-01,11.1,6.6,6.8,13.8,8.3,14.8
