"Full-Time Equivalent Employees by Industry (ANZSIC06) and Sex (Qrtly-Mar/Jun/Sep/Dec)","","","",""
"","Manufacturing","Construction","Retail Trade","Total All Industries"
" ","Total Both Sexes","Total Both Sexes","Total Both Sexes","Total Both Sexes"
"1989Q1",224600,54600,94000,984800
"1989Q2",219100,53200,94100,971400
"1989Q3",205400,52200,92400,953800
"1989Q4",203700,50100,91100,938700
"1990Q1",211000,50800,92300,948900
"1990Q2",207200,48600,89000,931400
"1990Q3",197000,49700,89400,935000
"1990Q4",197700,47800,89400,936100
"1991Q1",204100,50600,91500,957900
"1991Q2",198200,45800,88800,933100
"1991Q3",182100,41600,85500,900100
"1991Q4",184700,41300,85000,899200
"1992Q1",194100,42500,86700,921000
"1992Q2",193300,40700,84700,911700
"1992Q3",182300,38500,84100,892700
"1992Q4",188800,39700,86700,905600
"1993Q1",197900,42900,86800,924600
"1993Q2",198300,41900,86600,922600
"1993Q3",192600,40600,86800,920700
"1993Q4",197500,41900,89100,931500
"1994Q1",205100,45700,90400,959000
"1994Q2",209900,45600,92900,973200
"1994Q3",202600,44800,93300,967600
"1994Q4",208100,46000,95900,985500
"1995Q1",213500,51600,94400,1001300
"1995Q2",217300,47800,95200,999500
"1995Q3",210500,49800,97800,1014100
"1995Q4",212300,51300,98800,1026000
"1996Q1",214400,57200,97000,1034600
"1996Q2",219900,51000,99000,1041600
"1996Q3",210500,52300,101100,1055000
"1996Q4",212600,52600,106200,1066600
"1997Q1",209800,57600,98500,1037100
"1997Q2",212000,50800,107200,1065600
"1997Q3",203000,51900,110100,1075600
"1997Q4",204900,53200,111400,1080000
"1998Q1",203200,62000,101100,1059000
"1998Q2",203800,55600,109900,1077100
"1998Q3",195100,55500,110100,1070700
"1998Q4",194500,56600,111300,1072500
"1999Q1",200400,58500,111300,1079200
"1999Q2",197800,58700,108600,1075200
"1999Q3",190200,58400,108800,1068700
"1999Q4",194900,60800,108600,1092500
"2000Q1",199900,63600,108200,1094900
"2000Q2",194900,63300,107200,1101700
"2000Q3",190400,63200,110600,1106900
"2000Q4",195300,63300,112000,1126000
"2001Q1",200200,62200,110800,1123300
"2001Q2",197800,63500,112400,1135400
"2001Q3",193700,62600,114300,1129100
"2001Q4",203500,64200,117600,1158900
"2002Q1",209500,65800,116200,1162000
"2002Q2",205200,69900,118200,1181400
"2002Q3",196400,68400,118600,1170700
"2002Q4",206100,69300,122900,1198200
"2003Q1",212000,69800,122600,1199000
"2003Q2",206300,70800,122400,1205300
"2003Q3",198000,70400,124500,1198200
"2003Q4",208100,73500,126400,1230600
"2004Q1",213100,75000,123600,1230800
"2004Q2",213100,81700,122600,1250200
"2004Q3",205300,79800,125500,1246100
"2004Q4",205900,84800,132100,1271600
"2005Q1",212300,88000,132300,1272000
"2005Q2",209500,86800,130100,1269100
"2005Q3",200500,86900,135700,1287800
"2005Q4",203800,89100,138100,1302500
"2006Q1",205900,93300,138000,1303800
"2006Q2",204400,93700,133200,1311700
"2006Q3",191800,94800,135800,1305300
"2006Q4",199800,97300,135600,1330800
"2007Q1",203100,99500,134900,1316100
"2007Q2",199300,103600,135900,1333600
"2007Q3",193400,102600,131400,1330400
"2007Q4",200400,104900,135200,1366400
"2008Q1",204900,107000,131500,1350200
"2008Q2",205600,104800,130000,1358600
"2008Q3",191500,103200,130400,1343900
"2008Q4",189200,101400,129100,1347600
"2009Q1",187800,96700,128700,1318900
"2009Q2",180000,99000,123100,1307300
"2009Q3",172100,95500,122700,1294300
"2009Q4",176500,89500,132800,1312700
"2010Q1",180100,89300,129100,1311100
"2010Q2",178900,85100,132300,1324000
"2010Q3",170900,85300,130900,1315500
"2010Q4",173300,85600,133400,1314900
"2011Q1",178700,91500,131600,1319500
"2011Q2",174800,89800,129400,1329300
"2011Q3",168600,89100,133100,1321200
"2011Q4",167200,90700,134500,1342400
"2012Q1",175200,91500,132800,1333700
"2012Q2",172500,94800,132000,1356400
"2012Q3",165600,94700,131800,1342600
"2012Q4",166900,97200,134100,1362700
"2013Q1",171800,100600,131300,1356600
"2013Q2",171100,99700,133000,1380900
"2013Q3",167900,98500,133000,1376400
"2013Q4",169100,101900,133100,1393100
"2014Q1",173400,105700,134700,1397700
"2014Q2",171900,107800,134500,1429500
"2014Q3",167700,108800,136300,1420100
"2014Q4",169800,110400,141900,1439200
"2015Q1",178700,115900,139500,1456000
"2015Q2",176200,117800,137900,1459600
"2015Q3",169000,121700,134400,1454200
"2015Q4",170900,127400,138900,1480700
"2016Q1",175300,126000,141600,1494700
"2016Q2",175100,125200,142000,1506000
"2016Q3",167700,123000,140400,1502800
"2016Q4",167900,134300,141500,1528400
"2017Q1",174000,140800,143400,1533100
"2017Q2",177100,139300,144400,1547200
"2017Q3",171500,138500,148400,1543800
"2017Q4",171900,137200,152400,1560000
"2018Q1",178700,135800,151100,1558400
"2018Q2",174700,139100,152900,1580200
"2018Q3",172700,138500,153600,1573800
"2018Q4",174800,145800,160600,1592800
"2019Q1",177200,148300,159300,1588300
"2019Q2",176000,147700,155400,1607900
"2019Q3",172500,148400,152700,1599700
"Table information:"
"Units:"
"Number, Magnitude = Units"
""
"Footnotes:"
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"QEX019AA"
""
"Last updated:"
"06 November 2019 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
